File: stress_test
Build ID: 498919aff001d8366249403a2544fba2d833084f
Type: cpu
Time: 2026-09-22 01:13:11 CEST
Duration: 184.29s, Total samples = 294.71s (159.91%)
Showing nodes accounting for 190.96s, 64.80% of 294.71s total
Dropped 1742 nodes (cum <= 1.47s)
      flat  flat%   sum%        cum   cum%
    32.70s 11.10% 11.10%     32.70s 11.10%  internal/runtime/syscall/linux.Syscall6
    19.62s  6.66% 17.75%     19.62s  6.66%  runtime.futex
     7.80s  2.65% 20.40%     16.76s  5.69%  runtime.tryDeferToSpanScan
     6.83s  2.32% 22.72%     25.64s  8.70%  runtime.scanObject
     6.09s  2.07% 24.78%     15.30s  5.19%  runtime.scanObjectsSmall
     5.30s  1.80% 26.58%      5.30s  1.80%  runtime.nextFreeFast (inline)
     5.25s  1.78% 28.36%      5.25s  1.78%  runtime.spanClass.sizeclass (inline)
     4.58s  1.55% 29.92%      6.19s  2.10%  runtime.typePointers.next
     3.84s  1.30% 31.22%      3.84s  1.30%  runtime.memclrNoHeapPointers
     3.67s  1.25% 32.47%      3.67s  1.25%  runtime.memmove
     3.57s  1.21% 33.68%      9.98s  3.39%  runtime.stealWork
     3.45s  1.17% 34.85%      3.45s  1.17%  cmpbody
     3.37s  1.14% 35.99%     19.62s  6.66%  runtime.mallocgcSmallScanNoHeader
     3.15s  1.07% 37.06%      3.61s  1.22%  runtime.(*mspan).writeHeapBitsSmall
     2.91s  0.99% 38.05%      3.11s  1.06%  runtime.heapArenaOf (inline)
     2.73s  0.93% 38.97%     30.15s 10.23%  runtime.mallocgc
     2.42s  0.82% 39.80%      2.61s  0.89%  internal/sync.(*Mutex).Lock (inline)
     2.07s   0.7% 40.50%      4.43s  1.50%  runtime.findObject
     2.04s  0.69% 41.19%      6.17s  2.09%  runtime.selectgo
     1.97s  0.67% 41.86%      1.97s  0.67%  github.com/antlr4-go/antlr/v4.(*BaseParserRuleContext).GetChildCount
     1.97s  0.67% 42.53%      2.25s  0.76%  runtime.spanOf (inline)
